Sl. No,Theme,Action,Brief Description of Activity,
32,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
33,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
34,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
35,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
36,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness on LiFE Mission , ICFRE- IFGTB, Coimbatore",
37,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk,Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 15th March, 2023 for 225 beneficiaries.
#LiFEMission #ChooseLiFE",
38,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",To convert plants residue to compost,
39,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",To convert plants residue to compost,
40,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",To convert plants residue to compost,
41,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",To convert plants residue to compost,
42,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness on LiFE Mission , ICFRE- IFGTB, Coimbatore",
43,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness on LiFE Mission , ICFRE- IFGTB, Coimbatore",
44,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness on LiFE Mission , ICFRE- IFGTB, Coimbatore",
45,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness on LiFE Mission , ICFRE- IFGTB, Coimbatore",
46,Energy Saved,Use LED bulbs/ tube-lights,Use of LED Bulbs/LED Tube lights for energy saved,
47,Energy Saved,Use LED bulbs/ tube-lights,Use of LED Bulbs/LED Tube lights for energy saved,
48,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",Taps with Water Saver Nozzle,
49,Energy Saved,Use LED bulbs/ tube-lights,Street lights were replaced with LED,
50,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 16th March, 2023 for 180 beneficiaries.#LiFEMission #ChooseLiFE",
51,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Awareness Programme on Practice natural or organic farming,
52,Water Saved,Participate in recharge of rural water bodies through Amrit Sarovar Scheme,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 17th March, 2023 for (62 In service teachers from Institute of Advanced Study in Education, Bhopal and 210 general visitors of museum) 272 beneficiaries.#LiFEMission #ChooseLiFE",
53,Water Saved,Participate in recharge of rural water bodies through Amrit Sarovar Scheme,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 17th March, 2023 for (62 In service teachers from Institute of Advanced Study in Education, Bhopal and 210 general visitors of museum) 272 beneficiaries.#LiFEMission #ChooseLiFE",
54,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation",
55,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation",
56,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation",
57,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation",
58,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation",
59,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation",
60,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation",
61,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 18th March, 2023 for (140 Students of Siddharth Excellence School, Bhopal and 364 general visitors of museum) 504 beneficiaries.#LiFEMission #ChooseLiFE",
62,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Nukkad natak conducted at COCO Vytilla,Ernakulam in order to educate customers at retail outlet regarding use of single use plastic.",
63,Water Saved,Adopt cultivation of less water intensive crops like millets,“Rainwater Harvesting”,
64,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"""Single Use Plastic Reduced""",
65,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness Program on Mission LiFE 
 Painting and slogan writing competition on IDF 2023 
 Training at Haridwar and Tree Health Hazard Assessment",
66,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness Program on Mission LiFE 
 Painting and slogan writing competition on IDF 2023 
 Training at Haridwar and Tree Health Hazard Assessment",
67,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness Program on Mission LiFE 
 Painting and slogan writing competition on IDF 2023 
 Training at Haridwar and Tree Health Hazard Assessment",
68,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness Program on Mission LiFE 
 Painting and slogan writing competition on IDF 2023 
 Training at Haridwar and Tree Health Hazard Assessment",
69,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness Program on Mission LiFE 
 Painting and slogan writing competition on IDF 2023 
 Training at Haridwar and Tree Health Hazard Assessment",
70,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Seminar on Eco-friendly lifestyle,
71,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Seminar on Eco-friendly lifestyle,
72,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Seminar on Eco-friendly lifestyle,
73,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Replaced disposable glasses/cups with steel bottles and Disposable cutlery in the Guest House are replaced with ceramic cutlery by ICFRE-IWST, Bengaluru",
74,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Replaced disposable glasses/cups with steel bottles and Disposable cutlery in the Guest House are replaced with ceramic cutlery by ICFRE-IWST, Bengaluru",
75,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Replaced disposable glasses/cups with steel bottles and Disposable cutlery in the Guest House are replaced with ceramic cutlery by ICFRE-IWST, Bengaluru",
76,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Preparation of organic manure from cow dung by ICFRE-SDC, Chhindwara",
77,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Preparation of organic manure from cow dung by ICFRE-SDC, Chhindwara",
78,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Preparation of organic manure from cow dung by ICFRE-SDC, Chhindwara",
79,Energy Saved,Use bicycles for local or short commute,The banners were displayed during the Green Energy Summit ofanised by Indian Oil Corporation Ltd at Hyatt Rgenecy Delhi.,
80,Energy Saved,Use bicycles for local or short commute,The banners were displayed during the Green Energy Summit ofanised by Indian Oil Corporation Ltd at Hyatt Rgenecy Delhi.,
81,Water Saved,Participate in recharge of rural water bodies through Amrit Sarovar Scheme,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 19th March, 2023 for 230 beneficiaries.",
82,Energy Saved,Use LED bulbs/ tube-lights,Use LED Bulb/Tube-Lights in place of incandescent bulb,
83,Water Saved,Adopt cultivation of less water intensive crops like millets,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 21st March, 2023 #ChooseLiFE #ProPlanetPeople",
84,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,SAY A BIG NO TO PLASTIC CARRY BAGS!,
85,Energy Saved,Use bicycles for local or short commute,Walk or use bicycles whenever possible!,
86,Energy Saved,Switch off vehicle engines at red lights and railway crossings,Turn off the vehicle’s ignition while waiting at Red signal/Railway Crossings,
87,Energy Saved,Keep your electronic devices in energy-saving mode,Use your appliances on Energy saving mode,
88,Energy Saved,Use public transport wherever possible,Use public transport whenever possible,
89,Energy Saved,Use LED bulbs/ tube-lights,Use LED Bulbs in place of Filament Bulbs,
90,Energy Saved,Switch off appliances from plug points when not in use,Switch off appliances from their plug points when not in use,
91,Energy Saved,Switch off appliances from plug points when not in use,Switch off appliances from their plug points when not in use,
92,Water Saved,"Fix leaks in flushes, taps and waterpipes","Fix leaks in flushes, taps and waterpipes to save water",
93,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,Carry your own cloth bag for shopping instead of using plastic bags,
94,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,Use non-plastic eco-friendly cutlery during gatherings/events,
95,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",Install water-efficient fixtures (taps and showers)It can reduce water consumption by 30-40%,
96,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 22nd March, 2023 #ChooseLiFE #ProPlanetPeople",
97,Water Saved,"Fix leaks in flushes, taps and waterpipes",पानी बचाने के लिए नलों और पानी के पाइपों में रिसाव को ठीक करें,
98,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Poster Making competition on the topic of of Air Pollution,
99,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Poster Making competition on the topic of of Air Pollution,
100,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Poster Making competition on the topic of of Air Pollution,
101,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Poster Making competition on the topic of of Air Pollution,
102,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Poster Making competition on the topic of of Air Pollution,
103,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Poster Making competition on the topic of of Air Pollution,
104,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Poster Making competition on the topic of of Air Pollution,
105,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 23rd March, 2023 #ChooseLiFE #ProPlanetPeople",
106,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,A Plantation Drive was organized,
107,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,A Plantation Drive was organized,
108,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,A Plantation Drive was organized,
109,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,A Plantation Drive was organized,
110,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,A Plantation Drive was organized,
111,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,A Plantation Drive was organized,
112,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,A Plantation Drive was organized,
113,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Plantation Drive was organized to Save Lives,
114,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Plantation Drive was organized to Save Lives,
115,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Plantation Drive was organized to Save Lives,
116,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Plantation Drive was organized to Save Lives,
117,Single-Use Plastic Reduced,Reuse glass containers/ packaging plastic items as storage boxes,"Importance of reducing, reusing and recycling plastic waste",
118,Single-Use Plastic Reduced,Reuse glass containers/ packaging plastic items as storage boxes,"Importance of reducing, reusing and recycling plastic waste",
119,Single-Use Plastic Reduced,Reuse glass containers/ packaging plastic items as storage boxes,"Importance of reducing, reusing and recycling plastic waste",
120,Single-Use Plastic Reduced,Reuse glass containers/ packaging plastic items as storage boxes,"Importance of reducing, reusing and recycling plastic waste",
121,Water Saved,Reuse water from washed vegetables to water plants and other purpose,Reuse water from washed vegetables to water plants/other purposes,
122,Water Saved,"Reuse water drained out from AC/RO for cleaning utensils, watering plants and others","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 24th March, 2023 #ChooseLiFE #ProPlanetPeople",
123,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 25th March, 2023 #ChooseLiFE #ProPlanetPeople",
124,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 25th March, 2023 #ChooseLiFE #ProPlanetPeople",
125,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 26th March, 2023 #ChooseLiFE #ProPlanetPeople",
126,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
127,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
128,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
129,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
130,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
131,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
132,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
133,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
134,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
135,Energy Saved,Switch off vehicle engines at red lights and railway crossings,“Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”,
136,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,Drawing competitions-Display of LiFe logo-Energy Conservation-” under “Lifestyle for the Environment (LiFe)”,
137,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
138,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
139,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
140,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
141,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
142,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
143,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
144,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
145,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
146,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
147,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
148,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
149,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
150,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
151,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
152,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
153,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
154,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
155,Energy Saved,Use LED bulbs/ tube-lights,IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.,
156,Waste Reduced (Swachhata Actions),Set printer default to double-side printing,"In Mathura Refinery, Printer default setting is set to double side for reduction of waste paper setting",
157,Waste Reduced (Swachhata Actions),Set printer default to double-side printing,"In Mathura Refinery, Printer default setting is set to double side for reduction of waste paper setting",
